Total 156 Interactions,,,,,Normalized by Bait (per sample),,,,,,,,,,,,,,,Relative to HM (by Rep.),,,,,,,,,,,,,,
Pair,Bait,Prey,BaitID,PreyID,HM_1,HM_2,HM_3,Neu_1,Neu_2,Neu_3,F_1,F_2,F_3,S_1,S_2,S_3,FS_1,FS_2,FS_3,HM_1,HM_2,HM_3,Neu_1,Neu_2,Neu_3,F_1,F_2,F_3,S_1,S_2,S_3,FS_1,FS_2,FS_3
EGFR_ACIN1,EGFR,ACIN1,P00533,Q9UKV3,40520.9219,54507.1233,30457.0242,13108.71902,18884.93784,9826.099558,8175.462331,20769.45947,8590.929738,14692.45226,16917.72641,10576.03445,12002.4786,13926.8962,9794.740382,100,100,100,32.35,34.65,32.26,20.18,38.1,28.21,36.26,31.04,34.72,29.62,25.55,32.16
BSG_ADAM9,BSG,ADAM9,P35613,Q13443,13283.9434,11574.2999,14789.9307,14317.80482,14231.71531,17373.45151,9015.77725,6266.289855,9989.002338,13741.96181,9996.807202,14274.93563,10301.13094,8765.172104,7778.019148,100,100,100,107.78,122.96,117.47,67.87,54.14,67.54,103.45,86.37,96.52,77.55,75.73,52.59
EGFR_ADAM9,EGFR,ADAM9,P00533,Q13443,7384.0249,12367.8725,6587.48798,7218.773642,10809.79264,5019.127399,6217.007558,7408.454637,3887.721252,3810.618195,6832.887015,2739.599692,3663.017865,6534.784473,3547.345991,100,100,100,97.76,87.4,76.19,84.2,59.9,59.02,51.61,55.25,41.59,49.61,52.84,53.85
CD44_AGPAT2,CD44,AGPAT2,P16070,O15120,19334.7324,28196.227,13437.523,10749.3031,17217.3373,5804.211847,8075.184649,9420.491589,4580.906108,7125.119305,8070.875426,5056.103458,13187.71637,20246.58617,6549.858186,100,100,100,55.6,61.06,43.19,41.77,33.41,34.09,36.85,28.62,37.63,68.21,71.81,48.74
CD44_ALDH1A3,CD44,ALDH1A3,P16070,P47895,9177.02734,11333.4452,10071.3654,8560.940724,8796.078162,10170.25191,6586.164053,8721.52787,7247.310904,4510.751083,4223.138088,4105.318486,11846.30386,14269.46638,8549.048704,100,100,100,93.29,77.61,100.98,71.77,76.95,71.96,49.15,37.26,40.76,129.09,125.91,84.88
EGFR_AP1M1,EGFR,AP1M1,P00533,Q9BXS5,40961.3711,38343.1203,44472.8666,54612.78066,43151.03859,53775.65498,49233.89356,37048.30754,38201.84128,11175.60782,10345.56141,9369.004924,16703.68532,17644.48374,17023.02052,100,100,100,133.33,112.54,120.92,120.2,96.62,85.9,27.28,26.98,21.07,40.78,46.02,38.28
BSG_ARF4,BSG,ARF4,P35613,P18085,44458.3711,69951.2457,37297.3279,10628.43257,16471.20273,9384.415876,14581.02326,24538.686,11848.3163,15876.50458,19146.61305,10634.07193,17732.7593,25994.71128,14759.71012,100,100,100,23.91,23.55,25.16,32.8,35.08,31.77,35.71,27.37,28.51,39.89,37.16,39.57
EGFR_ARF4,EGFR,ARF4,P00533,P18085,63568.8242,61999.31,50751.8872,122854.491,94905.59056,87447.94939,28551.1834,27446.10403,20728.96078,38246.68991,36579.08605,22739.31586,17858.16602,13090.97771,9886.897371,100,100,100,193.26,153.08,172.3,44.91,44.27,40.84,60.17,59,44.8,28.09,21.11,19.48
SLC3A2_ARF4,SLC3A2,ARF4,P08195,P18085,43868.6719,51089.894,23152.7006,21635.38301,26135.86754,11354.28446,26213.45839,22418.57151,12354.71344,34929.67037,44059.09158,16703.89636,34683.69294,32142.30644,12616.43558,100,100,100,49.32,51.16,49.04,59.75,43.88,53.36,79.62,86.24,72.15,79.06,62.91,54.49
BSG_ARF5,BSG,ARF5,P35613,P84085,11374.7031,17435.4862,6340.2254,9472.422016,16566.03379,5403.435865,9953.572844,16398.21624,3975.429596,6615.391304,10051.94853,2995.495676,9242.307859,14155.55328,5665.716312,100,100,100,83.28,95.01,85.22,87.51,94.05,62.7,58.16,57.65,47.25,81.25,81.19,89.36
CD44_ARF5,CD44,ARF5,P16070,P84085,42379.2539,45471.6681,37123.845,39723.33601,43506.3533,36703.4801,42083.01317,49234.77685,39856.35095,21786.65995,21215.98265,17465.75359,22621.64474,16361.50311,20183.35613,100,100,100,93.73,95.68,98.87,99.3,108.28,107.36,51.41,46.66,47.05,53.38,35.98,54.37
EGFR_ARF5,EGFR,ARF5,P00533,P84085,11093.8047,11098.4641,12017.2863,7058.213661,6180.790425,7695.075706,9807.257345,6610.316732,10022.13222,20752.29761,14412.91845,23045.82204,10773.76961,7364.054218,8513.827089,100,100,100,63.62,55.69,64.03,88.4,59.56,83.4,187.06,129.86,191.77,97.12,66.35,70.85
SLC3A2_ARF5,SLC3A2,ARF5,P08195,P84085,5913.4572,7060.96647,4441.27906,2199.071491,2455.88672,1563.854375,2231.037104,2785.581222,1723.567759,2424.219644,2962.02789,1815.912304,3902.840736,3398.302946,2365.078824,100,100,100,37.19,34.78,35.21,37.73,39.45,38.81,40.99,41.95,40.89,66,48.13,53.25
BSG_ARF6,BSG,ARF6,P35613,P62330,26767.1543,31533.5815,27603.9491,15177.35067,13152.5144,13061.13494,18687.56613,23924.64465,13479.83703,26412.56443,23558.74336,23314.32828,19663.63472,22490.80101,15345.04004,100,100,100,56.7,41.71,47.32,69.82,75.87,48.83,98.68,74.71,84.46,73.46,71.32,55.59
CD44_ARF6,CD44,ARF6,P16070,P62330,74036.1172,117578.238,55301.9441,26605.76967,41882.17206,17553.5949,58368.64975,87155.95469,31336.33683,7961.834715,13086.64822,4763.797388,21513.31684,24894.51649,11494.721,100,100,100,35.94,35.62,31.74,78.84,74.13,56.66,10.75,11.13,8.61,29.06,21.17,20.79
EGFR_ARF6,EGFR,ARF6,P00533,P62330,5686.00586,9539.41203,5490.20256,6267.086376,9049.22953,6395.408882,6323.136122,9213.96717,4712.080958,4360.857432,5453.64964,3935.897514,11422.36903,20120.32415,10980.05944,100,100,100,110.22,94.86,116.49,111.21,96.59,85.83,76.69,57.17,71.69,200.89,210.92,199.99
EGFR_ATP1A1,EGFR,ATP1A1,P00533,P05023,112467.656,137356.749,110816.856,112587.4116,146138.1953,121541.3352,90615.3804,119019.6146,66550.60497,108787.1631,117514.9007,92244.82993,93465.15211,93476.60863,61464.89081,100,100,100,100.11,106.39,109.68,80.57,86.65,60.05,96.73,85.55,83.24,83.1,68.05,55.47
SLC3A2_ATP1A1,SLC3A2,ATP1A1,P08195,P05023,42127.4531,57220.877,43980.5977,26660.62502,38738.06005,20883.67783,17953.47792,26385.48969,19746.18391,31219.58432,46497.01341,25083.82382,40075.82023,36005.49173,42184.72172,100,100,100,63.29,67.7,47.48,42.62,46.11,44.9,74.11,81.26,57.03,95.13,62.92,95.92
EGFR_ATP2A2,EGFR,ATP2A2,P00533,P16615,143358.391,237272.472,115747.135,63907.64968,82578.46866,52133.92473,51928.28033,72924.74275,35734.57791,86231.17074,154764.0258,49313.12499,61205.30802,93750.94846,47090.92481,100,100,100,44.58,34.8,45.04,36.22,30.73,30.87,60.15,65.23,42.6,42.69,39.51,40.68
SLC3A2_ATP2A2,SLC3A2,ATP2A2,P08195,P16615,39471.1797,47442.7791,25952.5375,33799.96889,36982.852,16159.95063,33127.85593,27606.06737,21223.49745,40378.70422,34779.16864,28020.33372,37695.90813,43031.29158,24757.03057,100,100,100,85.63,77.95,62.27,83.93,58.19,81.78,102.3,73.31,107.97,95.5,90.7,95.39
BSG_ATP2A2,BSG,ATP2A2,P35613,P16615,92204.3906,100291.638,103225.213,108627.1387,108963.5615,106038.6299,97567.49309,70148.71637,99688.16236,105869.3358,122552.7015,120852.4607,80141.80938,80058.76196,97250.21251,100,100,100,117.81,108.65,102.73,105.82,69.94,96.57,114.82,122.2,117.08,86.92,79.83,94.21
BSG_ATP2B1,BSG,ATP2B1,P35613,P20020,19290.8594,26199.4948,18861.8114,20537.72198,22012.51587,21242.22341,16856.31488,24145.31762,11679.38892,23726.60733,22737.76983,24237.51878,17906.15854,25455.556,18601.45159,100,100,100,106.46,84.02,112.62,87.38,92.16,61.92,122.99,86.79,128.5,92.82,97.16,98.62
EGFR_ATP2B1,EGFR,ATP2B1,P00533,P20020,4517.59717,4956.97867,2478.63841,5054.947961,3609.500339,2699.938404,4222.293069,4899.718743,1716.195448,3114.88464,2622.541521,1299.762461,6620.287429,5705.792781,2769.234345,100,100,100,111.89,72.82,108.93,93.46,98.84,69.24,68.95,52.91,52.44,146.54,115.11,111.72
BSG_ATP5F1A,BSG,ATP5F1A,P35613,P25705,1152687.63,1101911.74,1050341.64,1393576.153,1009945.896,1177079.958,1205738.153,1176035.209,1058030.631,1022226.692,899520.1685,1010275.385,935991.9332,782656.8217,877952.4626,100,100,100,120.9,91.65,112.07,104.6,106.73,100.73,88.68,81.63,96.19,81.2,71.03,83.59
EGFR_ATP5F1A,EGFR,ATP5F1A,P00533,P25705,992517.5,889662.912,609916.892,1345777.812,1147362.251,763850.8831,827114.7187,612211.7278,366714.8981,1188830.99,944917.5931,617808.0042,882583.308,633806.7496,457763.2628,100,100,100,135.59,128.97,125.24,83.34,68.81,60.13,119.78,106.21,101.29,88.92,71.24,75.05
BSG_ATP5F1B,BSG,ATP5F1B,P35613,P06576,231382.391,225845.41,220184.408,255885.4438,224291.3652,252866.6829,261644.6741,237739.0695,237481.6335,220582.7824,229406.6635,163916.7334,344445.705,225202.297,335249.2002,100,100,100,110.59,99.31,114.84,113.08,105.27,107.86,95.33,101.58,74.45,148.86,99.72,152.26
EGFR_ATP5F1B,EGFR,ATP5F1B,P00533,P06576,266781.125,274128.277,183107.093,309431.3274,348641.8959,164063.8266,301704.1829,285143.8637,145972.5625,258979.604,248290.388,120631.71,330641.0218,264900.6387,223270.4657,100,100,100,115.99,127.18,89.6,113.09,104.02,79.72,97.08,90.57,65.88,123.94,96.63,121.93
BSG_ATP5PO,BSG,ATP5PO,P35613,P48047,67729.3047,69278.9512,72822.4807,77826.88726,76959.81879,87249.1542,70664.04866,52080.51516,63963.52686,79293.80511,72921.81216,63887.90075,79459.94916,83285.55923,64782.13865,100,100,100,114.91,111.09,119.81,104.33,75.18,87.83,117.07,105.26,87.73,117.32,120.22,88.96
CD44_ATP6V1H,CD44,ATP6V1H,P16070,Q9UI12,23812.6934,34335.9988,25020.8304,12412.69205,13448.818,14238.57307,17545.11775,17692.86815,13413.68629,13414.45475,13196.27533,12383.0539,13065.27372,18090.79121,13293.78202,100,100,100,52.13,39.17,56.91,73.68,51.53,53.61,56.33,38.43,49.49,54.87,52.69,53.13
EGFR_ATP6V1H,EGFR,ATP6V1H,P00533,Q9UI12,5408.78125,8953.85874,4984.63544,2711.934593,3981.260671,1963.226653,3366.974836,5800.867402,3267.151167,2617.952026,4701.215626,1959.753404,3912.96923,5723.907685,3718.957565,100,100,100,50.14,44.46,39.39,62.25,64.79,65.54,48.4,52.5,39.32,72.34,63.93,74.61
BSG_ATP6V1H,BSG,ATP6V1H,P35613,Q9UI12,15802.0898,19976.2119,11787.7901,11133.58303,13603.86713,6007.271911,13424.61348,15773.10112,7992.695985,9159.107689,15419.25532,7801.112393,9685.141655,8868.558851,7938.646227,100,100,100,70.46,68.1,50.96,84.95,78.96,67.8,57.96,77.19,66.18,61.29,44.4,67.35
BSG_ATXN10,BSG,ATXN10,P35613,Q9UBB4,7640.5249,8451.10819,6444.55354,20720.62286,15921.28322,12377.36988,19451.14362,15476.82571,13719.40673,14481.20183,11340.8794,10680.93395,21206.3985,22793.54809,13543.47022,100,100,100,271.19,188.39,192.06,254.58,183.13,212.88,189.53,134.19,165.74,277.55,269.71,210.15
EGFR_ATXN10,EGFR,ATXN10,P00533,Q9UBB4,10909.9551,13393.0609,8712.85378,9356.95954,9469.326233,7358.426779,7105.756605,8686.651799,4375.29964,7777.042127,7131.681406,4835.96386,6331.068601,9184.895129,4881.905967,100,100,100,85.77,70.7,84.45,65.13,64.86,50.22,71.28,53.25,55.5,58.03,68.58,56.03
