ROW_NAMES,Independent,HM_Enhanced,Neu_Enhanced,F_Enhanced,S_Enhanced,FS_Enhanced,HM_suppressed,Neu_suppressed,F_suppressed,S_suppressed,FS_suppressed
BSG_ADAM9,,,Neu_Up,,,,,,,,
BSG_ARF4,,HM_Up,,,,,,,,,
BSG_ARF5,Independent,,,,,,,,,,
BSG_ARF6,,,,,S_Up,,,Neu_Down,,,
BSG_ATP2A2,,,,,S_Up,,,,,,
BSG_ATP2B1,,,,,S_Up,,,,,,
BSG_ATP5F1A,Independent,,,,,,,,,,
BSG_ATP5F1B,,,,,,FS_Up,HM_Down,,,,
BSG_ATP5PO,Independent,,,,,,,,,,
BSG_ATP6V1H,Independent,,,,,,,,,,
BSG_ATXN10,,,,F_Up,,FS_Up,HM_Down,,,,
BSG_CCT3,Independent,,,,,,,,,,
BSG_CD44,,,,F_Up,,,,Neu_Down,,,
BSG_CDCP1,,HM_Up,,,,,,,,,
BSG_COPB1,,HM_Up,,,,,,,,,
BSG_CPNE1,,,,F_Up,,,,,,,
BSG_CPT1A,,,Neu_Up,,,,HM_Down,,,,FS_Down
BSG_CSE1L,,,,F_Up,,,,,,,FS_Down
BSG_DDOST,,HM_Up,,,,,,Neu_Down,,,
BSG_EGFR,,,,,S_Up,FS_Up,HM_Down,Neu_Down,F_Down,,
BSG_EHD4,,HM_Up,,,S_Up,,,,,,
BSG_EPCAM,,,,,S_Up,FS_Up,,Neu_Down,,,
BSG_ESYT2,Independent,,,,,,,,,,
BSG_GLG1,,,,,S_Up,,,Neu_Down,,,
BSG_GOLM2,,,,F_Up,,,,,,,FS_Down
BSG_HAX1,Independent,,,,,,,,,,
BSG_HM13,,HM_Up,,,,,,,,,
BSG_ILVBL,,HM_Up,,,,,,,,,
BSG_ITGB1,,HM_Up,,,,,,,,,
BSG_LAMP1,,HM_Up,,,,,,,,,
BSG_LGALS3,,,Neu_Up,F_Up,S_Up,FS_Up,HM_Down,,,,
BSG_LPCAT1,Independent,,,,,,,,,,
BSG_NAMPT,,,,,S_Up,,,,,,
BSG_NDUFS1,,HM_Up,,,,,,,,,
BSG_PFKP,,HM_Up,,,,,,,,,
BSG_PHB1,Independent,,,,,,,,,,
BSG_SACM1L,,HM_Up,,F_Up,,,,Neu_Down,,S_Down,FS_Down
BSG_SAMHD1,,,,,,,,Neu_Down,,,
BSG_SLC16A3,,HM_Up,,,,,,,,,
BSG_SLC25A11,,HM_Up,,,,,,Neu_Down,,,
BSG_SLC25A3,,HM_Up,,,,,,,,,
BSG_SLC25A4,,HM_Up,,,,,,,,,
BSG_SLC25A5,,HM_Up,,,,,,,,,
BSG_SLC26A6,Independent,,,,,,,,,,FS_Down
BSG_SLC27A4,,HM_Up,,,,,,,,,
BSG_SLC3A2,Independent,,,,,,,,,,
BSG_SLC7A1,,,,,,FS_Up,,Neu_Down,,,
