Pair,HM,HM,HM,Und,Und,Und,Fuc,Fuc,Fuc,Sia,Sia,Sia,SiaFuc,SiaFuc,SiaFuc,Bait,Prey,BaitID,PreyID,Rank
Pair,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,Bait,Prey,BaitID,PreyID,Rank
BSG_SLC25A5,367927.625,573945.0193,246457.7913,259885.017,359114.3142,151693.0652,300897.6324,446216.144,323567.5609,298238.5939,346329.5672,236941.3175,309335.2161,351652.2737,183945.5676,BSG,SLC25A5,P35613,P05141,1
BSG_LAMP1,84784.17188,142434.0174,77704.69352,66681.25338,80446.26451,42947.06146,55416.85079,86626.51281,48832.99641,64843.61815,106868.7671,39946.26252,55770.55829,76125.69666,48141.48054,BSG,LAMP1,P35613,P11279,1
BSG_EPCAM,42069.62891,40153.35731,32893.69594,34524.81672,32068.03076,32311.63787,33037.81261,30164.18367,19744.48707,35930.45427,54647.70581,31715.70419,33651.49445,55566.35719,20152.83683,BSG,EPCAM,P35613,P16422,1
BSG_ATP2A2,92204.39063,100291.6377,103225.2126,72232.81377,118154.8251,70049.28805,64356.48931,106125.138,34011.9541,72277.7847,115155.1349,69693.05884,68540.93576,87171.0475,64958.78083,BSG,ATP2A2,P35613,P16615,1
BSG_VDAC1,21010.11328,20519.73724,11602.12072,13327.5946,14730.05738,11623.34177,25439.17092,38701.1195,25992.06586,19807.8581,25713.17484,10322.42948,19932.9649,23671.19313,12633.19422,BSG,VDAC1,P35613,P21796,1
BSG_PHB1,461236.0313,650947.0233,279170.4877,435500.4449,693116.378,234345.4024,437756.3392,471454.8222,326451.0991,470904.3249,410072.9042,423833.1995,461171.6577,751128.7258,388355.8812,BSG,PHB1,P35613,P35232,1
BSG_SLC25A11,27212.33008,39687.27856,17825.98106,18478.40994,17899.18511,14082.35926,22419.8403,31667.80022,18310.59745,20538.38401,21919.17957,11147.22846,21581.22897,25806.18617,19385.87845,BSG,SLC25A11,P35613,Q02978,1
BSG_TMED10,7112.744629,7165.947959,7141.913995,7226.108798,9842.032445,5692.865807,6587.785574,7391.034269,3910.081311,6494.726674,9562.770607,4314.979497,5923.122615,9290.003203,4839.505102,BSG,TMED10,P35613,P49755,1
BSG_SYMPK,7377.116699,6402.525812,5298.341116,3022.852975,3127.625059,2184.712577,4870.956121,4491.947025,5151.040969,6469.975484,10983.04218,3366.897602,8729.220051,13002.34785,9049.87922,BSG,SYMPK,P35613,Q92797,1
BSG_ATP2B1,19290.85938,26199.49484,18861.81137,18074.36111,27892.89629,14083.41565,14464.56492,22893.0669,14421.1423,19397.79863,32223.81707,20063.3371,18846.59402,24318.89106,11937.62112,BSG,ATP2B1,P35613,P20020,1
BSG_ARF6,26767.1543,31533.58146,27603.94907,20908.34637,17879.98148,19957.20478,17857.78913,22015.26102,12946.32567,19002.74195,31115.84977,13990.00865,20985.00589,23165.13815,16860.69677,BSG,ARF6,P35613,P62330,1
BSG_SLC16A3,40353.57031,65802.95297,31912.08765,22895.98733,38652.31893,25550.79995,21908.77627,27262.40484,18321.41133,28922.20641,26919.63284,15396.33167,23297.58377,29604.00673,22994.87827,BSG,SLC16A3,P35613,O15427,1
BSG_LGALS3,6880.262207,9861.686229,4512.117237,17899.18511,25609.61707,10881.98858,11586.28282,10849.74282,9461.706139,14123.82275,15077.32202,15496.61595,12374.46174,19838.36582,13393.25117,BSG,LGALS3,P35613,P17931,1
BSG_SLC7A5,14110.75391,15556.25954,13775.99038,21959.46755,34293.88087,14010.29401,11455.67258,14758.22843,6167.207157,13753.16394,20515.59464,13372.24255,15859.42275,24485.52138,12908.19035,BSG,SLC7A5,P35613,Q01650,1
BSG_STEAP3,24654.29102,29277.46367,20605.83454,12085.78748,18349.24683,7801.36373,8675.930436,10416.66912,6369.191404,10105.13054,8602.699733,5673.272914,14950.79723,23115.4276,14603.44536,BSG,STEAP3,P35613,Q658P3,1
BSG_VMP1,137024.25,217824.7097,115623.2545,4467.381119,4951.689906,3789.2416,5635.541086,8402.422692,4675.374502,0,0,0,3706.892657,3472.394627,2419.347975,BSG,VMP1,P35613,Q96GC9,1
BSG_SACM1L,15498.8457,25377.19,15881.91517,5413.183849,6636.184476,3649.303305,38197.51758,45313.7151,28468.83903,3335.748502,5021.368934,2854.710217,4786.492368,7918.055,4770.49591,BSG,SACM1L,P35613,Q9NTJ5,1
BSG_ATXN10,7640.524902,8451.108189,6444.553539,14906.87539,22918.87371,15528.2834,16371.45814,21514.71543,13788.20576,17301.07965,16017.51255,17992.22318,18387.20159,23456.18532,20343.45274,BSG,ATXN10,P35613,Q9UBB4,1
BSG_ATP5F1B,231382.3906,225845.41,220184.4084,193840.9342,249762.1053,188341.6669,183840.2459,255383.516,190885.0041,196981.0581,215304.2361,140977.1765,202458.8219,336203.1197,212986.8831,BSG,ATP5F1B,P35613,P06576,2
BSG_ATP5F1A,1152687.625,1101911.735,1050341.643,926907.9059,1332189.119,987621.3007,895785.7076,1152625.386,656399.5183,943077.0729,977197.6013,993824.9932,863319.3927,894761.485,489092.8823,BSG,ATP5F1A,P35613,P25705,2
BSG_SLC7A1,19820.54883,21359.61444,20470.99978,9493.693921,10009.86606,8960.224273,8750.451645,12649.91541,7705.560214,11337.4281,15163.81009,12471.57906,33268.24746,48927.94422,26657.21459,BSG,SLC7A1,P35613,P30825,2
BSG_SURF4,141266.7813,156325.8201,76245.07224,87788.04609,78832.78751,85751.80236,90888.78547,116145.8701,79122.14153,109865.8386,120848.0278,92642.61056,143065.495,162100.3591,146071.5872,BSG,SURF4,P35613,O15260,3
BSG_ATP5PO,67729.30469,69278.95118,72822.48067,53029.64055,79607.56609,52474.63233,56181.91433,72280.84189,40673.06543,59900.77635,81108.0472,39790.0491,55368.74299,81277.99259,30083.60987,BSG,ATP5PO,P35613,P48047,3
BSG_SLC25A3,368837.9063,445253.7437,337413.2855,191814.7071,239651.3769,173923.7658,260185.78,281627.6901,247273.8005,258456.6865,254316.2104,260460.5012,273466.457,286568.235,175788.8875,BSG,SLC25A3,P35613,Q00325,3
BSG_GLG1,14703.90625,13398.19938,10523.33574,6282.221048,6288.314803,4085.755539,8804.390648,10950.725,6117.317036,10247.33243,11776.43937,10731.37542,9317.245765,8199.176274,8499.517691,BSG,GLG1,P35613,Q92896,3
BSG_CPNE1,5404.05957,7299.479424,3267.153911,5044.860031,6080.418449,5569.777717,6045.20755,9775.463321,4044.594473,4284.335689,5815.900012,3749.809116,4357.627275,6402.313145,3429.953793,BSG,CPNE1,P35613,Q99829,3
BSG_SAMHD1,21835.01172,26769.28767,22295.70863,11877.45289,19494.22589,11850.36042,15267.00435,15826.8454,13864.33306,14906.3795,24326.46602,16674.15686,14732.18205,17878.68149,11361.07576,BSG,SAMHD1,P35613,Q9Y3Z3,3
BSG_CSE1L,84468.36719,79986.47562,63860.78858,53628.56716,89574.72316,46308.26774,66073.34861,88693.5595,56803.05958,55500.60108,54365.61378,35835.4616,56904.01995,49313.59273,36554.06124,BSG,CSE1L,P35613,P55060,3
BSG_PFKP,29784.42578,46528.03858,26757.55373,22718.53956,29797.63649,17732.29721,25145.95015,27116.3868,26653.72646,20791.10263,33289.05024,15117.87604,23917.89564,27441.95839,12824.63214,BSG,PFKP,P35613,Q01813,3
BSG_RPN2,12443.35352,11545.44113,9813.699617,7646.654089,6908.140237,8548.416359,8206.294808,13827.68881,6822.754535,9949.650851,12743.9108,7637.700231,9991.435212,11227.7754,5483.589396,BSG,RPN2,P35613,P04844,3
BSG_TUFM,412016.2188,511744.7445,279156.2328,336790.699,295449.6407,335205.4252,291082.2652,386874.5279,252538.0249,367074.2934,477515.9361,292943.2728,320137.5841,315300.3052,325624.4221,BSG,TUFM,P35613,P49411,3
BSG_TUBB,2045744.375,3362835.519,1374891.605,1397131.809,1723529.743,1250403.63,2103248.648,2102344.251,1673853.61,1524815.017,1493266.594,938232.4031,1477218.642,1468621.23,1597628.211,BSG,TUBB,P35613,P07437,3
