Pair,Bait,Prey,BaitID,PreyID,HM,HM,HM,Und,Und,Und,Fuc,Fuc,Fuc,Sia,Sia,Sia,SiaFuc,SiaFuc,SiaFuc
Pair,Bait,Prey,BaitID,PreyID,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
EGFR_ACIN1,EGFR,ACIN1,P00533,Q9UKV3,100,100,100,32.35,34.65,32.26,20.18,38.1,28.21,36.26,31.04,34.72,29.62,25.55,32.16
BSG_ADAM9,BSG,ADAM9,P35613,Q13443,100,100,100,107.78,122.96,117.47,67.87,54.14,67.54,103.45,86.37,96.52,77.55,75.73,52.59
EGFR_ADAM9,EGFR,ADAM9,P00533,Q13443,100,100,100,97.76,87.4,76.19,84.2,59.9,59.02,51.61,55.25,41.59,49.61,52.84,53.85
CD44_AGPAT2,CD44,AGPAT2,P16070,O15120,100,100,100,55.6,61.06,43.19,41.77,33.41,34.09,36.85,28.62,37.63,68.21,71.81,48.74
CD44_ALDH1A3,CD44,ALDH1A3,P16070,P47895,100,100,100,93.29,77.61,100.98,71.77,76.95,71.96,49.15,37.26,40.76,129.09,125.91,84.88
EGFR_AP1M1,EGFR,AP1M1,P00533,Q9BXS5,100,100,100,133.33,112.54,120.92,120.2,96.62,85.9,27.28,26.98,21.07,40.78,46.02,38.28
BSG_ARF4,BSG,ARF4,P35613,P18085,100,100,100,23.91,23.55,25.16,32.8,35.08,31.77,35.71,27.37,28.51,39.89,37.16,39.57
EGFR_ARF4,EGFR,ARF4,P00533,P18085,100,100,100,193.26,153.08,172.3,44.91,44.27,40.84,60.17,59,44.8,28.09,21.11,19.48
SLC3A2_ARF4,SLC3A2,ARF4,P08195,P18085,100,100,100,49.32,51.16,49.04,59.75,43.88,53.36,79.62,86.24,72.15,79.06,62.91,54.49
BSG_ARF5,BSG,ARF5,P35613,P84085,100,100,100,83.28,95.01,85.22,87.51,94.05,62.7,58.16,57.65,47.25,81.25,81.19,89.36
CD44_ARF5,CD44,ARF5,P16070,P84085,100,100,100,93.73,95.68,98.87,99.3,108.28,107.36,51.41,46.66,47.05,53.38,35.98,54.37
EGFR_ARF5,EGFR,ARF5,P00533,P84085,100,100,100,63.62,55.69,64.03,88.4,59.56,83.4,187.06,129.86,191.77,97.12,66.35,70.85
SLC3A2_ARF5,SLC3A2,ARF5,P08195,P84085,100,100,100,37.19,34.78,35.21,37.73,39.45,38.81,40.99,41.95,40.89,66,48.13,53.25
BSG_ARF6,BSG,ARF6,P35613,P62330,100,100,100,56.7,41.71,47.32,69.82,75.87,48.83,98.68,74.71,84.46,73.46,71.32,55.59
